1196,14156
7016,3832,13968
6976,3732,13808
6308,3680,13860
6880,3808,13596
6812,3656,13676
6212,3524,13452
6500,3712,13704
6272,3548,13888
6232,3716,13984
6952,3732,14036
6576,3752,13820
6616,3708,13620
6404,3588,13436
6524,3536,13528
6192,3500,13692
6344,3592,13924
6736,3672,13824
6404,3676,13956
6468,3688,13880
6412,3636,13684
6356,3680,13484
6592,3580,13444
6568,3672,13616
6084,3552,13800
6968,3768,13872
6904,3812,13972
6568,3744,13840
7048,3832,13776
6316,3676,13668
6296,3452,13432
6564,3640,13572
6524,3508,13624
6820,3704,13896
6996,3960,13948
6864,3752,14008
6904,3836,13968
6804,3716,13668
6704,3720,13524
6764,3728,13464
6252,3536,13612
6768,3708,13972
6504,3608,13880
6940,3724,13908
6988,3920,13816
6448,3804,13536
6568,3572,13448
6588,3660,13364
6216,3464,13456
6320,3608,13672
6312,3660,13840
6508,3788,13992
6848,3648,13824
6968,3872,13784
6224,3596,13632
6196,3500,13452
6776,3840,13388
6460,3700,13720
6744,3772,13832
6696,3568,13988
6472,3652,13864
6512,3724,13864
6908,3848,13648
6688,3748,13444
6792,3768,13356
6540,3488,13624
6248,3608,13776
6788,3656,13900
6676,3788,13944
6760,3772,13932
6772,3832,13740
6564,3636,13624
6796,3736,13468
6396,3444,13672
6220,3440,13684
6828,3680,13844
6900,3792,14100
6856,3736,13900
6548,3812,13832
6796,3828,13692
6888,3616,13404
6744,3772,13616
6712,3740,13628
6256,3460,13788
6888,3704,13992
6760,3784,14164
6924,3844,14100
6664,3648,13564
6784,3716,13456
6856,3716,13548
6536,3488,13736
6472,3596,13800
6856,3744,13912
6820,3868,14012
6680,3852,13908
6824,3892,13568
6404,3612,13632
6792,3708,13584
6492,3548,13500
6208,3384,13824
6564,3636,13808
6724,3804,14048
7052,3920,13840
6800,3804,13900
6640,3808,13664
6288,3636,13460
6256,3640,13416
6296,3620,13616
6748,3620,13808
6888,3784,13964
6748,3856,13880
6972,3696,13804
6380,3616,13640
6488,3520,13452
6416,3520,13540
6388,3512,13688
6328,3576,13860
6288,3540,13844
6932,3776,13868
7052,3836,13940
6768,3620,13752
6976,3792,13616
6304,3512,13664
6456,3584,13640
6332,3524,13616
6828,3800,13904
6968,3880,13904
6736,3652,13940
6440,3716,13876
6752,3844,13764
6872,3712,13676
6428,3448,13544
6400,3588,13580
6808,3744,13704
6500,3616,14028
6876,3804,14004
7016,3700,13972
6528,3752,13692
6716,3768,13628
6296,3556,13536
6600,3676,13520
6472,3552,13816
6256,3528,13860
6944,3684,13892
6792,3808,14036
6392,3588,13684
6292,3640,13660
6420,3592,13468
6584,3612,13580
6640,3680,13556
6828,3664,13872
6532,3680,13944
6708,3780,13984
6796,3744,13876
6304,3676,13804
6464,3548,13344
6340,3580,13520
6432,3628,13548
6276,3520,13804
6604,3680,13960
6628,3772,13904
6476,3712,13888
6556,3752,13536
6512,3616,13748
6464,3532,13516
6316,3524,13652
6576,3644,13760
6576,3604,13884
6520,3516,13996
6940,3896,13988
6532,3600,13584
6944,3852,13584
6212,3564,13440
6336,3548,13564
6268,3648,13640
6464,3612,13652
6284,3652,14000
6444,3552,13892
6500,3700,13812
6600,3664,13820
6284,3572,13376
6788,3652,13512
6680,3688,13656
6312,3584,13768
6736,3772,13960
6532,3752,14072
6688,3740,13904
6648,3716,13624
6464,3524,13400
6340,3496,13432
6248,3536,13416
6696,3780,13904
6812,3720,13888
6336,3608,13852
6680,3736,13812
6948,3896,13800
6872,3772,13816
6988,3772,13560
6340,3520,13564
6416,3448,13684
6200,3544,13820
6844,3796,14020
6784,3768,13900
6640,3856,14060
6828,3836,13680
6504,3644,13576
6608,3548,13516
6260,3520,13528
6268,3564,13768
6744,3596,14020
6504,3580,13912
6892,3784,13920
6640,3700,13660
6380,3620,13640
6324,3452,13508
6796,3764,13492
6800,3768,13784
6764,3720,13936
6652,3684,13956
6732,3912,13988
6612,3616,13700
6488,3668,13724
6256,3516,13540
6656,3604,13588
6668,3716,13680
6548,3556,13812
6884,3652,14112
6400,3612,14000
6604,3748,13752
7004,3880,13636
6548,3568,13572
6932,3716,13452
6532,3600,13536
6696,3568,13700
6880,3772,14048
6664,3812,14028
6744,3716,13944
6792,3852,13644
6284,3632,13536
6648,3772,13512
6516,3672,13360
6120,3548,13860
6732,3780,13812
6624,3720,14008
6936,3776,13928
6516,3660,13876
6368,3644,13748
6292,3572,13352
6444,3520,13500
6804,3600,13468
6200,3528,13736
6752,3692,14108
6392,3632,13900
6936,3840,13996
6400,3676,13800
6336,3632,13576
6804,3604,13608
6224,3424,13488
6820,3720,13708
6916,3764,14004
6292,3584,14060
6872,3872,13924
6528,3708,13900
6524,3616,13656
6884,3636,13564
6136,3524,13644
6584,3740,13736
6636,3732,13656
6660,3752,13884
6864,3708,13904
6296,3712,13736
7008,3800,13672
6808,3768,13580
6120,3416,13544
6272,3468,13692
6648,3568,13840
6768,3660,14080
6656,3732,14124
7048,3896,13868
6824,3728,13788
6592,3668,13568
6236,3612,13388
6192,3520,13444
6448,3660,13744
6828,3740,14020
6908,3788,13892
6400,3676,13984
6636,3764,13916
6324,3656,13644
6912,3784,13436
6768,3616,13532
6220,3516,13684
6792,3588,13696
6452,3632,13936
6904,3836,13992
6604,3740,13772
6408,3664,13584
6864,3804,13596
6336,3644,13472
6296,3536,13720
6248,3512,13784
6316,3600,13732
6604,3632,13984
6752,3764,14040
6760,3792,13876
6448,3648,13532
6316,3540,13476
6592,3768,13616
6600,3712,13668
6408,3608,13892
6484,3632,13908
6464,3680,13952
6964,3796,13796
6636,3720,13576
6348,3620,13660
